Unnamed: 0,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
265,"Apple MacBook Air 136 inci, M3, 2024 (8C CPU, 10C GPU, 16GB) 512GB",1913.41,iBox,5,iBox,7,1
221,"Apple MacBook Air 136 inch, Chip M2 (8 Core CPU, 8 Core GPU), 256GB",1272.61,Apple,5,Digimap,12,5
792,"Apple MacBook Air 13 inci, M1 Chip, 2020 (8 Core CPU, 7 Core GPU), 256GB",1112.41,Apple,4.96,iBox,68,27
109,ADVAN Laptop Workplus Intel i5 12600H 14'' FHD IPS 24GB 512GB Win 11,711.91,Advan,5,Advan,17,8
729,ADVAN Laptop Workplus AMD RYZEN 5 6600H 14'' FHD IPS 16GB 512GB Win 11,631.81,Advan,4.94,Advan,610,232
1449,PC Gaming FULLSET Ryzen 5 5600GT RAM 16GB SSD 256GB LENGKAP LED SAMSUNG 24 CURVED Siap Game n Desain,591.85,AMD,4.92,Jongko Online Pasundan,42,24
730,"ASUS VIVOBOOK GO 14 E1404FA-FHD323 14"" R3-7320 8GB 256GB SSD W11 SLV",536.22,ASUS,5,AMD Indonesia,29,13
546,"Laptop HP 14s-dq3888TU [14""/Intel Celeron N4500/8GB/512GB/Silver]",465.02,HP,5,Intel Official Store,7,2
134,"ACER LAPTOP ASPIRE LITE AL14-31P-C0G4/C6DD 14"" WUXGA INTEL N100 RAM 8GB STORAGE 512GB SSD INTEL UHD GRAPHICS WINDOWS 11",457.9,Acer,4.89,Acer,97,57
550,ASUS Vivobook Go 14 (E410KA) - Intel Celeron N4500/RAM 8GB/SSD 256GB/FHD/Windows 11/14inch,431.56,ASUS,5,Intel Official Store,12,7
612,"ACER LAPTOP ASPIRE LITE AL14-31P-C3MH 14"" WUXGA INTEL N100 RAM 8GB STORAGE 256GB SSD INTEL UHD GRAPHICS WINDOWS 11",431.2,Acer,4.96,Acer,120,70
61,"Advan Laptop Workpro Lite Intel i3 Notebook 14"" 8GB 256GB Windows 11 - Garansi 1 Tahun",427.11,Advan,4.96,Advan,48,26
256,LAPTOP LENOVO THINKPAD X1 YOGA FULL SERIES  1ST 2ND 3RD 4TH 5TH CORE i5 i7 TOUCHSCREEN INCLUDE STYLUS PEN - PENINGKATAN TERBARU,422.93,trout boy,4.98,Unlimited Laptop,82,65
786,Laptop Lenovo Thinkpad X1 YOGA Core i7 7th Gen RAM 16GB SSD Win 10 - Ssd 512gb ssd ( free tas dan mouse ),418.52,Lenovo,5,Redstar E,16,5
403,ASUS Vivobook A1400KA Intel Celeron N4500 RAM16GB SSD1TB 14'' Fhd Windows 11 Office 2021,418.21,ASUS,5,SKYNET COMPUTER.ID,20,9
653,LAPTOP LENOVO THINKPAD T490 T490S  CORE I5 I7 GEN 8 -  LAYAR 14 INCH PENINGKATAN TERBARU,414.12,trout boy,4.97,Unlimited Laptop,63,40
888,[2024 baru murah]AST Laptop 156'' Intel N5095  16/20+128/256/512GB SSD+win11+office+Garansi 1 Tahun,399.61,AST,4.99,Redmi laptop,362,146
1448,PC GAMING CORE I7 RAM 16GB SSD 256GB VGA 4GB 128BIT LED 24INC,399.16,Intel,4.86,Jongko Online Pasundan,101,56
1497,LAPTOP LENOVO THINKPAD T490 T490S Core i5/i7 - LAYAR 14 INCH SUPER MURAH MULUS BERGARANSI,391.6,QME,5,Laptop Choice,13,3
613,Laptop Lenovo Ideapad Slim 1 Intel Celeron N4020 Ram16Gb Ssd1TB 14 HD Windows 11 Office 2021,391.51,ASUS,4.94,SKYNET COMPUTER,39,18
122,"( Best Seller ) Laptop Bisnis dan Multitasking Lenovo IP Slim 15AMN7 - AMD Athlon Silver 7120U, 8GB RAM, 256GB SSD, 156"", Black/Platinum FHD",364.86,Lenovo,4.84,Pernak Pernik Gadget,692,368
23,ADVAN Laptop Soulmate Plus AMD Ryzen 5 3500U 8GB 256GB Free WIndows 11,364.81,Advan,4.5,Advan,8,2
812,laptop baru 2024 murah I4 inch INTEL J3710 ram16g+512ssd  WINDOWS11+OFFICE  GARANSI NASIONAL 1 TAHUN terbaru notebook untuk kuliah cuci gudang leptop,347.1,AST,4.98,DKI AST,899,416
120,"LAPTOP LENOVO THINKPAD  L13 CORE i3/I5/I7 GEN 10 - LAYAR 13 INCH + BONUS!!! TAS,MOUSE,MOUSE PAD PALING MURAH PALING MULUS WORT IT TO BUY",338.2,UNINICE,4.94,Grand Laptop,23,16
857,LAPTOP LENOVO THINKPAD X1 CARBON CORE I5 GEN 6 RAM 8GB SSD 256GB WINDOWS 10 14 INCH FREE TAS/MOUSE,331.44,Lenovo,4.94,US_ELEKTRONIK,77,49
167,Laptop Lenovo Thinkpad X1 YOGA 3 Core i5 Gen 8 RAM 16GB SSD NVME Win 10 SSD BERGARANSI,323.47,HP,5,Bestbrand Laptops,6,4
49,SPEK TINGGI - Laptop HP EliteBook 830 G5 Touchscreen Core i5 Gen8 RAM 16GB SSD 512  FREE MOUSE DAN TAS LAPTOP,321.6,HP,5,Redstar E,15,6
29,"Laptop Lenovo Thinkpad X280 Core i5 i7 Generasi 8 Layar 12,5 Inch Peningkatan Terbaru",317.2,trout boy,4.94,Unlimited Laptop,178,127
840,"LAPTOP ASUS VivoBook Go E410KA 140"" FHD / N4500 / 4GB RAM / 256GB SSD + 64GB EMMc / Intel Hd Graphics / Windows 11 + Office 365 - Star Black (Free tas Laptop Exlusive)",310.75,ASUS,4.94,Pernak Pernik Gadget,191,93
208,Laptop Lenovo Thinkpad T480s Core i5-8th Touch / RAM 20GB - SSD 1TB / 14 Inch / Win 10 / BONUS (MOUSE/TAS),307.05,Lenovo,5,Marvel stores,7,4
