Unnamed: 0,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
577,Azka1505-Samsung m23 5G 6/128,623,Samsung,5,Azka1505,25,16
226,Samsung Galaxy A35 5G 8/128 8/256 GB RAM 8 ROM 128 256 GB 8GB 128GB 256GB Smartphone Android HP Handphone,427.11,Samsung,4.94,SuperGadget,431,107
97,OPPO Reno13 F 4G 8/256GB,418.21,OPPO,5,OPPO,29,5
249,SAMSUNG GALAXY A35 5G - NFC - 8GB 256GB 8/256 LIKE NEW MULUS,376.02,Samsung,4.83,JAGAD CELLULER,55,23
240,SALE POCO X6 Pro 5G 12+512GB Dimensity 8300-Ultra 120Hz FIow AMOLED 67W T,374.24,Xiaomi,4,gadget.ind,11,2
103,Xiaomi Redmi Note 13 Pro 5G 8/256GB Snapdragon 7s Gen 2 dengan performa tinggi,356,Xiaomi,4.83,HP Mart,21,6
101,Samsung Galaxy A54 5G 8/128GB - Awesome Black,355.11,Samsung,4.5,GADGET STORE17,15,8
242,Xiaomi Redmi Note 13 Pro 5G (8GB/256GB) | (12GB/512GB) | Snapdragon 7s Gen 2 - 200 MP OIS - 120 Hz,346.66,Xiaomi,5,GADGET ANDALAN,15,2
602,"SALE SAMSUNG Galaxy A54 5G 8/256GB - Technology • FHD+ SA HID 120Hz 1000nits Processor Exynos 1380 Size • 64"" - Garansi",337.76,Samsung,4.5,gadget.ind,15,4
209,Xiaomi Redmi Note 13 Pro 8+256GB | Kamera 200 MP OIS ultra-jernih AMOLED 120 Hz,278.48,Xiaomi,5,GADGET ANDALAN,10,1
194,Infinix Note 40 Pro 5G 8/256GB - Up to 16GB Extended RAM - Dimensity 7020 - 108MP OIS,266.56,Infinix,5,GADGET ANDALAN,6,1
255,infinix zero 30 8/256 MediaTek Helio G99 Layar Amoled garansi resmi 1tahun,265.84,Infinix,5,Zonaphoneshop,18,12
232,Google Pixel 5 8/128Gb Original 5G,258.1,Google,5,Zanki Store,15,7
1,realme C75 8GB+16GB|256GB | NFC| IP66/68/69 Dust & Water Resistance| Military Grade Shock Resistance | 6000mAh Massive Battery,237.81,Realme,5,realme store Jakarta,21,13
244,OPPO A60 8/128 8/256 RAM 8GB ROM 128GB 256GB 8 128 256 GB Smartphone Android HP Handphone,217.07,OPPO,4.88,SuperGadget,215,93
186,"vivo Y28 (8+128) - 44W FlashCharge+6000mAH, Dynamic Design",213.51,Vivo,4.91,vivo,266,136
3,realme C75 8GB+16GB|128GB | NFC| IP66/68/69 Dust & Water Resistance| Military Grade Shock Resistance | 6000mAh Massive Battery,212.66,Realme,4.88,realme store Jakarta,106,49
