Unnamed: 0,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
0,"HP Chromebook 11 G6 116"" Intel 240 GHz 4 GB RAM 16 GB eMMC Bluetooth Webcam SD 💖 Valentines Day Sale !! 🎁",23.2,HP,5.0,Adam Jee Infotech,33.0,16.0
1,"Chromebook Google No Playstore, Laptop for Kids, Basic Learning, Watching Videos, Online Study, and for Typing",28.71,Samsung,4.86,AL-FUTAQ ELECTRONICS KL MY,502.0,169.0
3,DITU Game Laptop 156“ Intel Core I7-16GB+512GB SSD M2Computer laptops Windows 11 Pro Laptop,86.46,ALTRON,5.0,DITU Shop MY ,32.0,15.0
4,DELL P22T WINDOWS 10 LAPTOP 4GB RAM 16GB ROM 12 INCH SCREEN DISPLAY INTEL CELERON,36.25,Dell,5.0,Regal Electronics,17.0,9.0
5,( Termurah Laptop Windows 10 ) Lenovo 100E  Gen 1 / 4GB DDR3 RAM / 64GB EMMC SSD / 128 - 256 GB M2 SSD / 116 Inch Screen,34.51,Lenovo,5.0,ELINK NOTEBOOK CENTRE,9.0,5.0
6,ACER C740 Intel Celeron 3205U 4GB RAM 16GB SSD || Display 116 Inch HD Display Play Store Chromebook || Chrome OS,33.35,Acer,5.0,NOVA TECH,100.0,43.0
10,Ultra Window 10 HP Laptop || Intel 4GB RAM 16GB SSD 116 HD Display Office Laptop || System Window,37.41,HP,5.0,MEGA MALAYSIA,14.0,4.0
12,15 INCH LENOVO WINDO LAPTOP 4GB RAM 16GB SSD(512GB CAPACITY) WINDO 10,57.71,Lenovo,5.0,TOP it SDN BHD,17.0,4.0
13,DELL laptop for students and business ultra slim and smart (chromebook),28.71,Dell,4.5,malaysia electronics SDN ,12.0,8.0
16,DELL CHROMEBOOK 3180 HIGE RESOLUTION TOUCH SCREEN WITH PLAY STORE,42.63,Dell,5.0,AL-ADB ELECTRONICS KL MY STORE 1,9.0,3.0
17,15 INCHES LENOVO WINDO LAPTOP  -COR i3-8GB RAM -128GB SSD- FREE MS OFFICE- POWER POINTS- excel-AUTOCAD- 18 MONTHS WARRANTY,130.21,Lenovo,3.0,TOP it SDN BHD,5.0,2.0
18,15  inches Lenovo  laptop Chroombook- with play store -8k resolution- 4GB RAM - 32GB SSD- capacity 512GB,63.51,Lenovo Chromebook,5.0,future technology 55,5.0,0.0
20,Samsung window 10 Chrome OS Ram4gb Ssd16gb,51.32,Samsung,5.0,GQ Mall,8.0,2.0
22,Acer C740 Chromebook 116 Inch 4GB 16GB SSD Playstore and download all apps 4k display,43.21,Acer,4.0,future electronics 23 SDN,9.0,4.0
24,( Termurah WIndow 10 Gaming refurbished HP EliteBook 725 G4 Slim Laptop With ) AMD APU Quad Core A8-9600B 24GHz 7th Generation / 4GB-8GB RAM DDR 4 /120GB-480GB SSD M2 /125 INCH/WINDOW 10,80.91,HP,5.0,ELINK NOTEBOOK CENTRE,22.0,10.0
25,"UN TOUCH Dell Chromebook No Play Store  Support Chrome Web Store, 4GB Ram, 16GB SSD, 5 Hours Battery",33.93,Dell,5.0,AL-ADB ELECTRONICS KL MY STORE 1,18.0,8.0
26,LENOVO N22 CHROMEBOOK 4GB RAM 16GB SSD,26.1,Lenovo,5.0,Adam Jee Infotech,10.0,2.0
27,15 INCH HP LAPTOP SLIM 4K DISPLAY Chromebook with  Window and Microst Office RAM 4GB SSD 16GB FOR STUDENT AND BUSINESS,60.9,HP,5.0,Regal Electronics,5.0,0.0
28,ACER Laptop C740 16 / 32 / 64 / 128 Gb Chromebook Playstore,57.71,Acer,4.78,JS Gadgets&Gizmos ifixt ,509.0,207.0
29,HP Chromebook with playstore 4GB RAM/16 GB SSD With Windows Chrome,57.71,HP,5.0,Beebizzle Malaysia,6.0,2.0
30,Toshiba Windows 10 Laptop 4GB Ram 16GB Rom 13 Inch HD Screen Display Intel Celeron,49.01,Toshiba,5.0,AL-ADB ELECTRONICS KL MY STORE 1,7.0,3.0
31,"15-inch HP Chromebook, without Play Store, 4GB RAM, 16GB ROM, Ultra HD display, Up to 5 hours of battery life",48.14,HP,4.69,AL-FUTAQ ELECTRONICS KL MY,164.0,71.0
32,"Acer Chromebook R751T, 116"" Touchscreen Convertible 2 in 1 Laptop, 4GB RAM, 32GB SSD, Type-C, Chrome OS",51.16,Acer,5.0,BOYA PC STORE,10.0,5.0
33,"HP CHROMEBOOK | SSD 16GB | Warranty 18 Month | DDR3 4GB RAM | LAPTOP CHROMEBOOK | SUITABLE FOR BUSINESS AND STUDY | 4GB RAM | 16 GB SSD | Wifi | Bluetooth | HDMI | 116""Display Screen | IMIKA | DSY REFURBISHED LAPTOP",28.71,HP,5.0,DSY GLOBAL DISTRIBUTOR,12.0,4.0
34,Acer c731 heavy duty Chromebook 9/10 condition,28.71,Acer,4.84,AK47 LAPTOP,43.0,19.0
35,15 INCH HP SUPER SLIM LAPTOP CHROMEBOOK 4GB RAM 16GB SSD hd web came,63.51,HP,4.7,future electronics 23 SDN BHD,117.0,40.0
36,DITU Laptop 141“ Intel Celeron N4000 16G RAM 512G SSD Computer laptops Windows 11 Pro Laptop for Business Office or Student use,170.81,ALTRON,5.0,DITU Shop MY ,24.0,18.0
37,"Acer Chromebook C771,116"" HD IPS Display, 4GB RAM, 32GB SSD, 128/256/320GB microSD, Windows 10,HDMI",32.36,Acer,5.0,BOYA PC STORE,6.0,2.0
38,15 INCH LENOVO WINDO LAPTOP 4GB RAM 16GB SSD (CAPACITY 512GB) WINDO 10,57.58,Lenovo,5.0,future electronics 23 SDN,18.0,7.0
44,LENOVO LAPTOP CHROOMEBOOK TOUCH AND FLIP 8GB/32GB SSD TYPE C,66.41,Lenovo,5.0,TOP it SDN BHD,9.0,1.0
50,SAMSUNG CHROMEBOOK LAPTOP OFFER PRICE 399,37.41,Samsung MY,5.0,JS Gadgets&Gizmos ifixt ,26.0,7.0
54,SAMSUNG CHROMEBOOK 2 | 4GB RAM & 16GB SSD | UNTOUCH & NON PLAYSTORE,43.21,Samsung,5.0,AL-FUTAQ ELECTRONICS 2,5.0,1.0
57,15 inch super slim laptop (chromebook) play store 4k display lenovo words/ exle/power points,56.55,Lenovo,4.6,malaysia tech786,9.0,5.0
