,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
0,"UGREEN Wireless Mouse, 6 Silent Buttons, 24G with USB Mini Receiver, 5 Level DPI Setting 4000DPI, Ambidextrous PC / Linux Laptop",21.9,UGREEN,4.94,UGREEN Official Store,17500.0,5645.0
1,ORIGINAL AOC MS121 WIRED USB OPTICAL SENSOR GAMING MOUSE MICE WITH ERGONOMIC DESIGN RUBBER SCROLLER  DESKTOP COMPUTER LAPTOP TETIKUS 滑鼠 LOGITECH JUMPER UGREEN,7.19,AOC,4.97,EDIYonline.com.my,147.0,32.0
2,M185 Mini Wireless Mouse 3 Buttons Ergonomic Mouse 24GHz with USB Mini Receiver Computer Mouse for Windows/Mac OS/Linux,10.12,UEB,4.9,lotsgoods,232.0,62.0
3,Dell USB Optical Mouse PC Laptop Mini Mouse High Definition Optical Tracking 1000 DPI Netbook Mice Compact Mouse,4.88,Dell,5.0,90 Cents,22.0,4.0
4,[Vktech] Office Basic USB 3D Wired Optical Mini Mouse Mice For PC Laptop Computers,5.21,Vktech,4.77,Vktech Official Store,530.0,75.0
6,GOOJODOQ Bluetooth Wireless Mouse Modern Slim And Silent Rechargeable iPad Tablet Phone Universal Portable,12.9,GOOJODOQ,4.97,GOOJODOQ Local Store,1600.0,526.0
7,M185 24 GHz Wireless Mouse 1000DPI 3 Buttons Gaming Optical Mice,10.73,Tenda,4.93,Tenda International Store,267.0,105.0
8,(USED) USB HP DELL LENOVO FUJITSU NEC WIRED MOUSE,5.8,OEM,4.75,ELINK NOTEBOOK CENTRE,376.0,60.0
10,Logitech B175 Wireless USB Optical Mouse,28.0,Logitech,5.0,Lotus's,97.0,18.0
11,UGREEN Wireless Mouse USB Receiver Bluetooth Mouse Silent Buttons 5 Level DPI 4000 PC Windows 11 MacBook Linux Laptop,56.9,UGREEN,4.95,UGREEN OFFICIAL MALAYSIA,2200.0,841.0
12,Hp 150 Wireless Mouse Black (2S9L1Aa),27.0,HP,4.81,Lotus's,111.0,21.0
13,DITU Wireless Mouse Bluetooth Dual Mode Mouse Wireless Silent LED Backlit Rechargeable USB Optical Mouse For PC Laptop Computer,12.82,ALTRON,4.98,DITU Shop MY ,105.0,47.0
14,Portable 24GHz Wireless Optical Mouse 6 Buttons USB Receiver 2000 DPI Mice,8.49,Tenda,5.0,Tenda International Store,25.0,23.0
15,Logitech B100 Usb Optical Mouse,14.5,Logitech,5.0,Lotus's,621.0,50.0
16,[Vktech] 5500DPI LED Optical USB Wired Gaming Mouse 7 Buttons Gamer Computer Mice,11.74,Vktech,4.78,Vktech Official Store,149.0,50.0
19,VAORLO 24 Ghz Foldable Wireless Optical Mouse Non-Slip Mouse with Mini USB Receiver for Laptop PC,10.68,VAORLO,4.81,VAORLO 3C Store,99.0,53.0
20,Optical Wireless Mouse Computer Cordless Mouse USB Wireless Mouse for Better Game Experience GXG-MY,5.31,OEM,5.0,GHGYGHJYYY,9.0,2.0
21,Receiver Ultra-Thin Mouse For Smooth Stable Mouse with USB Mini Receiver for Birthday Christmas Gift High Quality Durable TD-MY,2.93,OEM,4.2,T-Dancing,17.0,6.0
22,CMB1 ✅ RECHARGEABLE WIRELESS MOUSE Silent Bluetooth Mouse Gaming Mouse Colourful LED 24GHZ Adjustable Mouse for Office Home PC Desktop Laptop / ( For Bluetooth Version support Android Phone Smart Phone Smartphone Tablet ) Wireless Mouse Bluetooth Mouse,14.7,OEM,4.82,33corner,655.0,240.0
24,Wireless Mouse Silent Rechargeable Bluetooth 40 Touch Mouse Ultra-thin Mouse for Laptop PC,36.0,Recci,4.95,RECCI  Store,4000.0,144.0
25,💘 Lowest Price Guarantee 💘 Lenovo M20 USB 1000 DPI Wired Mini Optical Mouse Home Office Computer Mice Portable Laptop Mouse,4.88,OEM,5.0,90 Cents,23.0,4.0
26,Ready Stock - DELL MS111 Wired Mouse Office Mouse Optical Mice For Computer PC Laptop School Office Home,10.9,OEM,4.62,Best On9,440.0,89.0
28,SAWU Portable 24G Wireless Optical Mouse Mice for Computer PC Laptop Gamer,5.78,无品牌,5.0,sawu,15.0,5.0
29,Xiaomi Wireless Mouse Lite 2 24GHz 1000DPI Ergonomic Optical Portable Computer Mouse Office Gaming Mice For PC Laptop Game,25.0,Xiaomi,4.93,MI GADGET,1000.0,271.0
