Unnamed: 0,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
984,AMD A6 705 G3 / 8GB DDR4 / 500GB HDD / 8 CORE CPU / HP BRAND / REFURBISHED,64.8,HP,4.2,alforecean PC,28,10
122,Acer C732 | Intel Celeron N3350 | 32GB Storage | 4GB RAM | Good for Online class and Office use | Preloved,69.58,Acer,5,Funplus Computer Parts,7,3
103,Laptop - HP Chromebook 11 G5 4GB Ram 16GB SSD Chrome OS Playstore free Charger and Laptop Pouch ( Pre-Owned ),69.6,HP,4.8,JAPAN SURPLUS SUPPLIER,491,219
29,ACER C731 Laptop | 116 inches Screen Size | 4GB RAM Intel Celeron N3060 | Win10 | With Built in Camera PRELOVED,70.68,Acer,4.43,Funplus Computer Parts,39,7
986,Crucial SODIMM DDR5 5600mhz CL46 48GB 32GB 24GB 16GB Laptop Memory,71.88,Crucial,5,vavutech,23,8
85,ORIGINAL Acer C731 Chromebook upgraded to WIN 10  l plus 512 GB I 3 MONTHS WARRANTY I  REFURBISHED LAPTOP,71.98,Acer,4.64,YouNiqueLovebyLeizel,600,205
243,Dell Chromebook 11 3180  UPGRADED TO WINDOWS 10 WITH 3 Months Warranty REFURBISHED LAPTOP,71.98,Dell,4.85,YouNiqueLovebyLeizel,392,165
254,"Assorted Used Notebook Laptop & Chromebook Laptop | Free Laptop Bag, Mouse, Mousepad & Charger | For Business, Work from Home, Online Class |Preloved",71.98,Assorted brand,4.69,Ttrend IT Solution,649,251
151,"Dell Chromebook 11 3180 HP Chromebook 116""- Intel Celeron N3060 Dual-core (2 Core) - 4 GB RAM - 16 GB SSD and 128G TF card WINDOWS 10 OS - English (US) Keyboard  used laptop 2k budget mini laptop second hand laptop[PRELOVED]",72,No,4.87,Refurb Zone,1800,460
126,Acer C771 | Intel Celeron N3588U | 4GB RAM | Good for Online class and Office use | Preloved,74.47,Acer,5,Funplus Computer Parts,6,2
