,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
0,"Logitech MX Keys S Advanced Wireless Illuminated Keyboard - Tactile Responsive Typing, Automatic Backlighting, Flow-enabled, Metal Build, USB-C Quick Charging, Multi-Device",168.0,Logitech,4.94,Logitech,4100.0,982.0
1,Alcatroz JellyBean U200 Slim USB Wired Keyboard,11.9,ALCATROZ,4.83,Alcatroz,218.0,54.0
2,"UGREEN KU004 Wireless Keyboard USB 24G Plug-and-Play, Full-Size, Spill-Resistant, Curved Space Bar, Compatible with PC / Mac / Laptop",22.99,UGREEN,4.95,UGREEN,1200.0,445.0
3,Dell Keyboard Dell Wired Keyboard Dell Keyboard For Laptop Dell USB Keyboard Dell KB216 Multimedia Keyboard Computer USB keyboard Keyboard Dell Slim Keyboard Quiet Keyboard USB Wired Keyboard Refurbished Like New,10.0,Dell,5.0,Majesty Venture Retail,6.0,1.0
4,USB WIRED KEYBOARD LENOVO SK-8827,8.5,Lenovo,4.93,COMPUTER HUB ,114.0,27.0
5,Mini Slim Keyboard Multimedia USB Wired For Notebook Laptop PC Computer,13.5,AceGadgets,4.34,AceGadgets,372.0,61.0
6,AULA 99/87/80 Keys customized gaming keyboard Gasket Structure Tri-mode RGB Wired /Bluetooth /24G Wireless Hot-swappable Mechanical Keyboard Supports WIN/Android/IOS system(F99),68.11,AULA,5.0,AULA,118.0,143.0
7,[Deliver In 72 hours]Machenike K500 Mechanical Keyboard RGB Backlit Hot-Swappable wired keyboard 90% layout 94 keys gaming keyboard Anti-Ghosting Keys for laptop computer desktop PC keyboard Red switch/Brown switch,49.0,MACHENIKE,4.95,Machenike,3300.0,939.0
8,K1000 78 Keys Chocolate Slim Wired USB Plastic Silent Keyboard for Laptop,6.25,VAKIND,5.0,HappyDeals,35.0,14.0
9,"Ranger wired Keyboard Model KB330 GLOW Backlit, Colorful illumination with On/Off key for Day /Night convenience Ergonomic and durable design Ideal keyboard for office /home 12 mths local warranty",11.8,Ranger,4.91,Systems Technology Pte Ltd,463.0,144.0
10,Alcatroz KB1000 Silent USB Wired Keyboard,7.9,ALCATROZ,4.74,Alcatroz,322.0,93.0
11,Business Office Keyboard Comfortable to Use without Leaving Fingerprints for PC Laptop TV Audio Equipment High quality genuine FDY-MY,5.54,OEM,5.0,FDY FUN,5.0,3.0
13,Logitech K120 Wired USB Keyboard,16.0,Logitech,4.89,Techies,1200.0,323.0
15,"Ranger  Wired Keyboard KB335 Colorful with Float keys Designed with a bevy of LED Lights giving a glowing Rainbow Aura for day or night Ruggedly built for working, gaming and web browsing Local Ex-stocks 12 months warranty",15.0,Ranger,4.92,Systems Technology Pte Ltd,102.0,26.0
17,Wireless Bluetooth Keyboard iPad Keyboard Phone Keyboard Tablet Keyboard Laptop Keyboard Compatible with iOS Android Windows System,8.9,Showsee,4.87,MAXU,148.0,54.0
18,LENOVO SK-8827 USB WIRED KEYBOARD,8.5,Lenovo,4.6,LAPTOP KUMAR,27.0,10.0
19,Wireless Handheld Keyboard Lightweight Colorful Backlight Keyboard for PC Laptop TV Audio Equipment GXG-MY,6.12,OEM,5.0,GHGYGHJYYY,10.0,7.0
20,Delux GM901D Bluetooth Keyboard Wireless Keyboard for PC Laptop Ergonomic Keyboard 104 Standard Keys Keyboards Compatiable with Windows / Mac Use AAA Battery,59.99,Delux,4.96,Delux Official Store,61.0,82.0
21,K1000 78 Keys Chocolate Slim Wired USB Plastic Silent Keyboard for Laptop,5.63,Tenda,5.0,Tenda International Store,5.0,2.0
