,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
2,"Apple MacBook Air 13-inch: Apple M1 chip with 8-core CPU and 7-core GPU, 256GB",975,Apple,4.9,Apple Flagship Store,5400,1161
3,"Lenovo IdeaPad 1 15IJL7 | 82LX0094SB |  156"" HD (1366x768) TN 220nits Anti-glare | Intel Celeron N4500 | 4GB RAM | 128GB eMMC |  Windows® 11 Home in S mode | 1Y",369,Lenovo,4.9,ATRiX Aurora Computer,638,208
5,Lenovo ThinkPad T480 14” Laptop Gen8 Intel Core i7/i5 8/16/32/64GB 256/512GB/1TB SSD HDMI USB-C ThunderBolt 3 WebCam W11Pro Used,328,Lenovo,4.67,Le Infotech,283,67
6,"HUAWEI Matebook D 16 Laptop | 16"" Eye Comfort HUAWEI FullView Display | Slimmed down 168 kg Body | High Performance Intel® Core™ i5 processor | Nimble Numeric Keypad | 56 Wh Large-capacity Battery",988,Huawei,4.87,HUAWEI,188,52
7,Acer 14 Inch Laptop | Free MS Office | Windows OS | Chrome Book | Slim Design | SG Warranty | SG Seller | Fast Shipping,99,Dell,5,Fuji Gadgets,5,2
8,i7 Portable Laptop Computer PC Gamer Windows 11 Intel Core i7 8500Y 156 inch Office Study Laptops Fingerprint Unlock Notebook,329,XIAORAN,4.86,Global Factory Tablet Store,39,28
9,"Leno 156"" Laptop Portable 32GB Ram DDR4 2TB SSD Windows 11 Notebook Pc Gamer Intel N5095 Office Computer with Backlit Fingerprint",355,Leno,4.69,Global Electronic Digital,47,26
10,Lenovo ThinkPad T14 G2 14” Ultrabook Intel Core i7 with iRIS XE Graphic RAM 16-48GB New 512GB/1TB NVMe SSD WebCam HDMI Win11Pro Used 30 Days Warranty - LeInfotech,488,Lenovo,5,Le Infotech,7,1
12,Lenovo ThinkPad X270 125” Ultrabook Laptop Intel Core i5-7300U 260GHz 8/16GB SSD HDMI MiniDP Webcam W10Pro Used,188,Lenovo,4.84,Le Infotech,744,158
13,HP 12 Inch Intel Laptop | Fast Boost Up | Windows OS | Free MS Office | Local Seller | SG Warranty | Fast Shipping !,99,HP,4.53,Fuji Gadgets,153,59
