,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
0,M221 Silent Wireless Mouse with 24GHz Optical Ergonomic PC Gaming Mouse for Window 10/8/7/Smooth and Stable Tracking/Comfortable Shape,9.61,Logitech,4.8,Innoco Technologies,762.0,220.0
1,HP M260 High Performance Wired USB Mouse Optical Sensor 1200 DPI With Fine Surface & Rubber Scroller,6.99,HP,4.95,Cybernetics Tech,1500.0,353.0
2,"Logitech MX Master 3s Wireless Mouse for PC Laptops, Business Office, Quiet and Convenient",114.0,Logitech,4.93,Future Technology ,502.0,152.0
3,"UGREEN Wireless Mouse, 6 Silent Buttons, Bluetooth 50 and 24G Wireless with USB Mini Receiver, 5 Level DPI Setting 4000DPI, Ambidextrous PC / Mac /Linux Laptop",9.99,UGREEN,4.93,UGREEN,13700.0,4043.0
4,USB Mouse Jiggler Undetectable Automatic Computer Mouse Computer Movement Jiggler Keeps Simulate Mouse Awake Mover H1D4,3.18,VAKIND,4.91,ALLOYSEED Official Store,137.0,35.0
5,Wireless Mouse 24GHz/Bluetooth Dual Mode 1600 DPI Optical Adjustable Mice Rechargeable  LED Colorful Backlit Silent Mice for PC / Mac /Linux Laptop,5.2,Showsee,4.89,MAXU,2000.0,669.0
7,"UGREEN MU008 Vertical Ergonomic Wireless Mouse, Bluetooth and 24GHz Wireless with USB Mini Receiver DPI Setting 4000DPI 4 Buttons for PC / Mac /Linux Laptop",29.99,UGREEN,4.94,UGREEN,2400.0,878.0
8,Dual Modes Bluetooth Wireless Mouse Rechargeable Silent Computer Mouse Ergonomic Optical Noiseless USB Mice Silent Mouse 1600DPI For iPad Tablet Laptop Computer,5.99,Showsee,4.85,MAXU,1900.0,513.0
9,"UGREEN Wireless Mouse, 6 Silent Buttons, Bluetooth 50 and 24G Wireless with USB Mini Receiver, 5 Level DPI Setting 4000DPI, Ambidextrous PC / Mac /Linux Laptop",9.71,UGREEN,4.93,UGREEN Direct Store,3900.0,1165.0
10,KEBIDU Rechargeable Bluetooth 51 Wireless Mouse with 24GHz USB RGB 1600DPI Mouse For MacBook Tablet Computer Laptop PC Mice,3.82,KEBIDU,4.89,Jeidamei,290.0,115.0
11,"UGREEN Silent Wireless Mouse, Dual Model 24Ghz Wireless Bluetooth 50, 4-Level Adjustable Silent Buttons, 4000 DPI Optical Tracking, Ambidextrous PC / Mac / Laptop/Tablet/Phone",19.99,UGREEN,4.9,UGREEN,2100.0,718.0
12,Lenovo M21 Silent Ergonomic Wireless Mouse,11.8,Lenovo,4.88,VT Computer Store,375.0,94.0
13,"[Lazada Exclusive, TOP SELLER] Logitech Wireless Mouse M275 with Textured thumb rest for better grip (Work From Home, Home Based Learning)",21.8,Logitech,4.93,Logitech,14200.0,2695.0
14,GOOJODOQ Rechargeable Wireless Bluetooth Mouse for Computer PC iPad Mouse Dual Modes Bluetooth 40 + USB Wireless Mouse 3 Adjustable DPI,5.5,GOOJODOQ,4.77,GOOJODOQ Flagship Store,52.0,43.0
