,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
0,"New Arrival - POCO C75 Smartphone | 6+128GB/8+256GB, 688'' 120Hz display, Local warranty",149.0,Poco,4.83,POCO Official Global Store,69.0,12.0
2,Brandnew Smart Phone A73 8GB 256GB 5G 4040mAh 65 1600x720 120Hz Android 10  Smart Phone,134.09,OPPO,4.82,asiacross,248.0,92.0
3,"[Limited] CMF Phone 1 | Interchangable Design | 50 MP Rear Camera | 667"" AMOLED 120Hz | Dimensity 7300 5G",349.0,CMF by Nothing,5.0,CMF by Nothing,154.0,45.0
4,"[Limited] Nothing Phone (2a) Plus | Dimensity 7350 Pro 5G | Triple 50MP Camera | 5000mAh + 50W | 67"" 120Hz AMOLED",549.0,Nothing,5.0,Nothing Singapore,87.0,29.0
5,🇸🇬🔥 Y2K 4G candy bar Senior Citizen Phone (Elderly Phone) dual sim 4G LTE network standby support(1 Year Local Warranty),85.0,Y2K,4.62,Mobile phone accessories city,114.0,32.0
7,"INOVAGEN 4G LTE Senior Phone Speed Dial SOS key,With Charging Dock,Big Display,Torch Music Audio Function,For Senior Citizen Backup LTE Feature Phone",56.9,INOVAGEN,4.96,HOZ 3C ORIGINAL,242.0,102.0
8,SHARP AQUOS sense9 Mobile Phone - Available in Black/White/Coral/Blue,639.0,Sharp,5.0,SHARP,23.0,8.0
9,[Limited] Nothing Phone (2a) | 12GB+256GB | 4nm Dimensity 7200 Pro | Dual 50MP rear + 32MP front | Iconic Glyph,485.0,Nothing,4.94,Nothing Singapore,390.0,113.0
10,"INOVAGEN 4G LTE Senior Phone With Charging Dock,Speed Dial,SOS key Big Display,Torch Music Audio Function,For Senior Citizen Backup LTE Feature Phone",58.25,INOVAGEN,4.68,INOVAGEN,71.0,50.0
12,"99% NEW XiaoMi Redmi 6A Redmi 6 SmartPhone 545"" Global rom 3GB RAM 32GB ROM MTK6762M Quad Core 130MP Android 81 3000mAh 4G LTE Mobile Phone",52.0,Xiaomi,4.79,XiaoMiAuthorized store,125.0,40.0
16,"New POCO X7 Pro Smartphone  | MediaTek Dimensity 8400-Ultra, 15K 120Hz AMOLED display, 6000mAh battery, Local warranty",449.0,Poco,4.96,POCO Official Store,151.0,51.0
17,"New Redmi Note 14 Smartphone | 6+128GB/8+256GB, 108MP AI Camera, Mediatek Helio G99-Ultra, 120Hz eye care dispaly, Local warranty",199.0,Xiaomi,5.0,Xiaomi Official Store Global,36.0,5.0
18,HONOR X9c 5G Smartphone (12GB+256GB) 678inch Display Ultra-tough Triple Defense,449.0,Honor,4.99,Honor Singapore ,361.0,147.0
20,OPPO A3x 8(4+4GB) + 128GB / 45W SUPERVOOC / Snapdragon6s Gen 1/ IP54 Splash Touch / 2 Years Local Warranty,149.0,OPPO,4.97,OPPO,176.0,68.0
21,Infinix Smart 9 4G | 1 Year Local Warranty,154.0,Infinix,5.0,Infinix SG,20.0,2.0
22,"POCO M6 Pro Smartphone | 8+256GB/12+512GB, Powered by Helio G99-Ultra, Global Version, 1 year Warranty",219.0,Poco,4.94,POCO Official Global Store,1200.0,378.0
23,vivo Y28 8GB+8GB Extended RAM + 256GB Storage | 44w Fast Charging | 90Hz Refresh Rate |2 Years Warranty,269.0,Vivo,5.0,vivo,46.0,17.0
24,OPPO A3 Pro 5G 16(8+8GB) + 256GB / 360° Damage-Proof Armour Body / 45W SUPERVOOC Charge / 5100mAh Battery / Splash Touch / 2 Years Local Warranty + 2 Years Screen Care,279.0,OPPO,4.97,OPPO,274.0,106.0
25,[New] realme C75 24(8+16GB)+256GB | IP69 Dust & Water Resistance | 6000mAh Battery 45W Fast Charge| 672'' 90Hz FHD Display | ArmorShell™ Glass,239.0,Realme,5.0,realme Singapore,8.0,4.0
26,"Xiaomi 14T Smartphone | 12GB+256GB/12GB+512GB, MediaTek Dimensity 8300-Ultra,144Hz AI display,5000mAh (typ) battery/67W HyperCharge, 1+1 Year Extend Local Warranty(Charger not included)",599.0,Xiaomi,4.81,Xiaomi Official Store Global,235.0,68.0
27,OnePlus 13 5G Global Version CPH2653 | Snapdragon 8 Elite | Support eSim NFC VoLTE SingPass | 2 Years Official Warranty,1299.0,OnePlus,5.0,OnePlus Official Store,106.0,19.0
28,Samsung Galaxy A55 5G,498.0,Samsung,4.88,Samsung,1100.0,320.0
29,HONOR Magic7 Pro 5G Smartphone - Smarter MagicOS 90 with HONOR AI | Snapdragon,1399.0,Honor,4.77,Honor Singapore ,108.0,48.0
30,Apple iPhone 13,657.0,Apple,4.89,Apple Flagship Store,6600.0,1399.0
31,HONOR 200 Smart 5G Smartphone 16(8+8)GB+256GB SGS Premium Performance of Drop & Crush Resistance | 5200mAh,249.0,Honor,4.83,Honor Singapore ,60.0,23.0
32,Samsung Galaxy A55 5G 256GB Rom + 12GB Ram or 256GB Rom + 8GB Ram or 128GB Rom + 8GB Ram l NFC and ESIM (FREE : TEMPERED GLASS + BACK CASE),434.0,Samsung,4.94,Global Technologies,1400.0,451.0
