Unnamed: 0,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
0,14 นิ้ว Windows 11 แล็ปท็อปใหม่ N4000 26Ghz 8GB RAM 256GB รอมแล็ปท็อปแล็ปท็อป,207.1,Founder,4.96,Founder Global,104.0,47.0
1,"[เก็บคูปองลดเพิ่ม 2,000-][ผ่อน 0% 10 ด]ACER ASPIRE GO 15 AG15-31P-30EJ/i3-N305/ประกัน 2 YEARS",427.2,Acer,5.0,TOP Online,114.0,35.0
2,แล็ปท็อปขนาด 14 นิ้ว N3350 6GB RAM 64GB + 128GB SSD Windows 10,162.72,Founder,4.9,Founder Global,53.0,29.0
3,"แล็ปท็อป 14 นิ้วสำหรับนักเรียนและธุรกิจอัพเกรด, โปรเซสเซอร์ Intel Pentium J3710, แรม 8GB, 128GB 256GB 512GB SSD, Windows 11",186.75,Founder,4.2,Founder Global,13.0,5.0
4,"[เก็บคูปองลดเพิ่ม 2,000-][ผ่อน 0% 10 ด] ACER ASPIRE A315-24P-R6SK/R5 7520U/ประกัน2y/",543.2,Acer,4.96,TOP Online,56.0,22.0
5,"LENOVO โน๊ตบุ๊ค (156"", AMD Ryzen 5, RAM 16GB, 512GB) รุ่น IPS3-15AM/82XQ00C2TA",619.6,Lenovo,5.0,Power Buy,7.0,2.0
6,โน๊ตบุ๊ค Lenovo ThinkPad L380 Intel Celeron Gen7 3965U RAM 4-8 GB SSD 128GB Full-HD IPS ขนาด 133 นิ้ว HD Webcam USB Type-C HDMI Wifi+Bluetooth ในตัว Refurbished Laptop มือสองสภาพดี มีประกัน! By Totalsolution,163.6,Lenovo,4.89,Totalsolution,1700.0,616.0
7,"[โค้ดลด 1,000- ขึ้นต่ำ 20,000-] Lenovo IdeaPad Slim 3 15IAH8 (83ER00E7TA) NOTEBOOK INTEL I5-12450H|RAM 16GB SSD M2 512GB|156INCH FHD IPS",803.6,Lenovo,5.0,Lenovo,33.0,12.0
8,Apple MacBook Air : M1 chip with 8-core CPU and 7-core GPU 256GB SSD 13-inch,999.96,Apple,4.95,Apple Flagship Store,9800.0,2897.0
9,"[เก็บคูปองลดเพิ่ม 3,200-][ผ่อน 0% 10 ด]ASUS TUF GAMING A15 FA506NF-HN005W/R5 7535HS/ประกัน2YEARSOnsite+1YPerfectWarranty",815.2,ASUS,5.0,TOP Online,28.0,14.0
10,HP Notebook 255 R5 7530U/ AMD Radeon/ 16GB/ 512GB/ Win11/ 1Yrs,651.2,HP,5.0,HP,44.0,12.0
11,"13-inch MacBook Air: Apple M2 chip with 8-core CPU and 8-core GPU, 16GB, 256GB",1255.6,Apple,5.0,Apple Flagship Store,82.0,22.0
12,[E-TAX ทักแชท] LENOVO IdeaPad Slim 3 15IAH8 (83ER00E7TA) Intel Core i5-12450H Notebook (โน้ตบุ้ค)  By Speed Gaming,780.0,Lenovo,5.0,Speed Gaming,39.0,15.0
13,"Byone 16 ""+ 14"" 2K Notebook Intel Core i9-10885H 16GB RAM 512GB 1TB SSD laptop computer windows 11 Pro 50GHz for educational office games",635.96,BYONE,5.0,BYONE Computers & Laptops,39.0,13.0
15,"HP โน๊ตบุ๊ค (156"", Intel Core i3, RAM 8GB, 512GB) รุ่น 15S-FQ5232TU",479.6,HP,5.0,Power Buy,10.0,0.0
16,"โน๊ตบุ๊ค Panasonic CF-SZ6 - Core i5 GEN 7 - RAM 8 GB SSD 256 GB หน้าจอ 121 นิ้ว IPS 1920x1200 WUXGA, Wifi + Bluetooth + FHD webcam หนักเพียง 086Kg โน๊ตบุ๊คมือสอง laptop used notebook สภาพนางฟ้า By Totalsolution",167.6,Panasonic,4.9,Totalsolution,767.0,361.0
17,Lenovo ThinkPad T480 / L480 / L490 เครื่องมีตำหนิตามสภาพ โน๊ตบุ๊คมือสอง ออกแบบ กราฟฟิก เรียน ทำงาน Used laptop,151.8,Lenovo,4.85,BSL COMPUTER,188.0,97.0
18,โน๊ตบุ๊ค Lenovo ThinkPad L380 Intel Celeron Gen7 3965U RAM 4-8 GB SSD 128GB Full-HD IPS ขนาด 133 นิ้ว HD Webcam USB Type-C HDMI Wifi+Bluetooth ในตัว Refurbished Laptop มือสองสภาพดี มีประกัน! By Totalsolution,163.6,Lenovo,4.85,Totalsolution,723.0,329.0
19,[E-TAX ทักแชท] DELL VOSTRO 14 3435 (VN3435PYCC2001OGTH) Ryzen 5 7530U พร้อม Windows & Office แท้ | NOTEBOOK (โน๊ตบุ๊ค) | By Speed Gaming,571.6,Dell,5.0,Speed Gaming,114.0,22.0
20,"LENOVO IdeaPad 1 15ALC7 โน๊ตบุ๊ค (156"", AMD Ryzen 7, RAM 16GB, 512GB) รุ่น 82R400J9TA + กระเป๋า",639.6,Lenovo,5.0,Power Buy,16.0,4.0
21,"[เก็บคูปองลดเพิ่ม 2,000-][ผ่อน 0% 10 ด]ASUS VIVOBOOK GO 15 M1504FA-NJ516W/ประกัน 2 Years+Onsite+อุบัติเหตุ 1 ปี",515.2,ASUS,5.0,TOP Online,80.0,41.0
22,"ASUS Vivobook Go 15 X1504GA-NJ322W, 156 Inch thin and light laptop, FHD ,Intel Core i3-N305, 8GB DDR4 , Intel UHD Graphics, 512GB M2 NVMe PCIe 30 SSD, WiFi5",479.6,ASUS,5.0,ASUS Official Store,20.0,8.0
23,"LENOVO IdeaPad Slim 3 15IAH8 โน๊ตบุ๊ค (156"", Intel Core i5, RAM 16GB, 512GB) รุ่น 83ER00E7TA + กระเป๋า",679.6,Lenovo,5.0,Power Buy,7.0,1.0
24,HP Notebook 15s-fq5378TU - i7-1255U - Intel® Iris - 16GB - 512GB - Win11 - MS H - S 21 - 2 Yrs Laptop,907.6,HP,4.74,HP,74.0,27.0
25,[ผ่อน 0%]LENOVO IDEAPAD SLIM 3 15AMN8(82XQ00C2TA)NOTEBOOK Ryzen 5-7520U RAM 16GB SSD 512GB 156 FHD,719.6,Lenovo,5.0,Lenovo,24.0,10.0
26,โน๊ตบุ๊ค Fujitsu Lifebook A744 Core i5 Gen4 /RAM 4-8 GB /HDD 320GB/SSD 120 GB ขนาด 156 นิ้ว HD Webcam สเปคแรงเร็ว เล่นเกมได้ Refurbished laptop used notebook computer สภาพดี มีประกัน by Totalsolution,175.6,Fujitsu,4.84,Totalsolution,152.0,68.0
27,โน๊ตบุ๊ค Lenovo ThinkPad L570 Core i5 GEN 6 - RAM 8 GB SSD 128 GB HD 156” Numpad + Webcam Wifi + Bluetooth สเปคดี Refurbished laptop used notebook computer คอมพิวเตอร์ 2024 สภาพดี มีประกัน By Totalsolution,223.6,Lenovo,5.0,Totalsolution,51.0,23.0
29,[Local Delivery+Thai Keyboard]MACHENIKE Machcreator AMD Ryzen 7 5700U laptop 16G RAM 512G SSD 156 inch FHD screen 2024 new laptop for student,639.6,MACHENIKE,5.0,Machenike Official Store,34.0,34.0
30,[เก็บคูปองลดเพิ่ม 275-][ผ่อน 0% 10 ด]HP LAPTOP 15-FD0029TU / ประกัน 2 Year,507.2,HP,5.0,TOP Online,14.0,3.0
31,[Discount 0% 10%] Mistme Recommends ASUS ROG 141 Inch Ultra-Thin Laptop 16GB RAM 2TB SSD Intel J4025 Notebook Gamer 19201080 Display Office Study Computer PC Windows 11 Pro,347.6,Mistme,4.8,Mistme Laptop Computer,12.0,5.0
32,HP Victus 16 16-r0356TX - i5-13500HX - RTX™ 4060 - 16 GB - 512 GB - Win 11 - 161 inch 165 Hz Gaming Laptop,1579.6,HP,5.0,HP,7.0,3.0
