Unnamed: 0,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
109,iPhone 16 Pro Max,1878,Apple,4.97,Apple Flagship Store,3200,1010
468,"ASUS ROG Phone 8 PRO (16+512,AI2401-5B035WW) Black - A0157402",1648.4,ASUS,5,Advice Online,5,5
180,iPhone 16 Pro,1548,Apple,4.94,Apple Flagship Store,1900,555
320,[E-TAX ทักแชท] ASUS ROG PHONE 8 PRO  RAM 16GB ROM 512GB SMARTPHONE (โทรศัพท์)  By Speed Gaming,1439.6,ASUS,5,Speed Gaming,56,32
462,ASUS ROG Phone 8 Pro (AI2401-5B035WW) RAM 16GB / ROM 512GB  (PHANTOM BLACK),1439.6,ASUS,5,ASUS Official Store,38,20
150,iPhone 16 Plus,1380,Apple,4.97,Apple Flagship Store,754,259
350,"Samsung Galaxy S24 8/256GB  มือถือแอนดรอย, AI Phone,  กล้อง 50MP , จอใหญ่,Ram เร็วขึ้น , แบตเตอรี่อยู่ได้นาน",1356,Samsung,4.92,LazMall Mobiles,125,38
357,สมาร์ท (5G) ใหม่ล่าสุด รุ่น 𝗶𝗣𝗵𝗼𝗻𝗲 15 Plus หน้าจอ 67 นิ้ว เครื่องใหม่ แบตอึด 4383 mAh ประกันศูนย์ไทย 1 ปี ออกใบกำกับภาษีได้ By WPN Mall,1308,Dtac,5,WPN Mall,26,11
874,Panasonic TES824 โทรศัพท์ตู้สาขา รุ่น kx-tes824bx (3/8) ตู้สาขาโทรศัพท์ขนาด 3 สายนอก 8 สายใน ราคายังไม่รวมเครื่องคีย์,1300,PANAOSNIC,5,PCS Solution,9,3
443,"Asus ROG Phone 8 (RAM 12GB, 256GB)",1199.6,ASUS,4.75,Power Buy,11,8
345,สมาร์ทโฟน รุ่น 𝗶𝗣𝗵𝗼𝗻𝗲 15 รองรับ 5G หน้าจอSuper Retina XDR OLED ขนาด 61 นิ้ว เครื่องใหม่ ประกันศูนย์ไทย 1 ปี  ส่งฟรี ส่งเร็ว By WPN Mall,1180,TRUE,5,WPN Mall,87,36
370,[E-TAX ทักแชท] ASUS ROG PHONE 8  RAM 12GB ROM 256GB (BLACK)  (Storm Grey)  SMARTPHONE( โทรศัพท์)  By Speed Gaming,1172,ASUS,4.96,Speed Gaming,41,23
192,iPhone 16,1158,Apple,4.97,Apple Flagship Store,1600,424
346,ASUS ROG PHONE 8 (AI2401-1A033WW) RAM 12GB / ROM 256GB (PHANTOM BLACK),1079.6,ASUS,5,ASUS Official Store,40,21
401,Unihertz Tank 3 Pro Rugged Smartphone Android 23800mAh 100 Lumens 512GB ROM Octa Core 200MP 120W Fast Charger Cell Phone On Sale,1032,Unihertz,5,Smart Electronic Shop,9,8
866,Panasonic PBX model KX-TES824 3 CO lines/ 8 Extensions,952,Panasonic,5,Siam O.A. and Telecom,6,2
301,Xiaomi 14T Pro 5G (DC) แถมฟรี XIAOMI 14T SERIES PHONE BAG สมาร์ทโฟน โทรศัพท์มือถือ แถมฟรีประกันจอแตก (สินค้ารับประกันศูนย์ 2ปี) By TG,879.6,Xiaomi,4.95,TG Shop_TH,1200,388
176,iPhone 14,876,Apple,4.94,Apple Flagship Store,7200,1821
431,NOTHING Phone สมาร์ทโฟน รุ่นที่ 1 by Dotlife,840,Nothing,5,dotlife,13,6
229,&lt;ใหม่&gt; 𝗔𝗽𝗽𝗹𝗲 𝗶𝗣𝗵𝗼𝗻𝗲 รุ่น 13 จอขนาด 61 นิ้ว  เครื่องใหม่ ประกันศูนย์ 1 ปี ออกใบกำกับภาษีได้ By WPN Mall,812,TRUE,5,WPN Mall,384,108
273,สมาร์ทโฟน รุ่น ไอ 13 ความจุ 128GB เครื่องใหม่ ประกันศูนย์ 1 ปี ออกใบกำกับภาษีได้ By WPN Mall,812,TRUE,4.99,WPN Mall,480,130
186,[ใหม่ล่าสุด]Xiaomi 14T 5G Smartphone 12G+256G/512G โทรศัพท์มือถือ ชิปเซ็ท Dimensity 8300-Ultra เลนส์ออปติคอล Summilux จาก Leica เซ็นเศอร์ภาพ Sony AI 144Hz,719.6,Xiaomi,4.95,Xiaomi Mall TH,225,104
55,iPhone 13,700,Apple,4.96,Apple Flagship Store,22600,5937
501,Xiaomi 13 Original 5G Phone Smartphone Qualcomm Snapdragon 8 Gen2 636″ OLED 120Hz Screen 54MP Leica Triple Camera 67W 4500mAh IP68 99%New,660,Xiaomi,5,Redmi Smartphone Factory store,17,7
323,Samsung S23 Ultra S23 S23Plus 5G มือสอ ง งเครื่องศูนย์ไทยแท้100% สภาพสวย พร้อมชุดชาร์จ used phone,659.6,Samsung,5,jayphones,41,23
173,Nothing Phone ( 2a ) Plus 12+256GB โทรศัพท์มือถือ Smartphone,619.6,Nothing,5,NOTHING,40,18
500,Global ROM Xiaomi 11 Ultra 8GB 256GB 5G Mobile Phone Snapdragon 888 50MP Triple Cameras 120HZ AMOLED Display 5000mAh Smartphone,616,Xiaomi,4.4,Redmi Smartphone Factory store,15,27
502,Xiaomi 11 ultra Global Rom Smartphone 67W fast charging Snapdragon 888 50MP Android mobile phones redmi Cellphones,616,Xiaomi,4.5,Redmi Smartphone Factory store,8,4
441,Global ROM 98% Xiaomi 11 Ultra 8GB 256GB 5G Mobile Phone Snapdragon 888 50MP Triple Cameras 120HZ AMOLED Display 5000mAh Smartphone,614.16,Xiaomi,5,SmartphoneTop1,61,32
332,"ViVo V40 สมาร์ทโฟน 5G รุ่นใหม่ล่าสุด ความจุ 12/256GB มาพร้อมระบบ Android 14 รองรับ 2ซิม แบตเตอรี่ 5,500 mAh By WPN Mall",595.6,TRUE,5,WPN Mall,6,2
291,[เปิดขายแล้ว | คูปองร้านค้าลด 500-| คูปองลาซาด้าลดสูงสุด 15%] HUAWEI nova 13 | มือถือ | กล้องคู่หน้าอัลตร้าพอร์ตเทรต 60 MP l ร้านค้าอย่างเป็นทางการ,559.6,Huawei,5,HUAWEI,8,1
